0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/res/5 HTTP/1.1" 200 259754
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/resources/images/chair.png HTTP/1.1" 200 27885
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/resources/images/tv.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/resources/images/rec3.png HTTP/1.1" 200 10574
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/resources/images/board.png HTTP/1.1" 200 7627
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:01:05 -0700] "GET /SRMS/resources/images/rec.png HTTP/1.1" 200 25030
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:02:12 -0700] "GET /SRMS/home HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:02:22 -0700] "GET /SRMS/reserve HTTP/1.1" 200 81563
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:02:37 -0700] "POST /SRMS/saveReservation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:02:38 -0700] "GET /SRMS/reserve HTTP/1.1" 200 81822
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:30 -0700] "GET /SRMS/home HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:32 -0700] "GET /SRMS/home HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:34 -0700] "GET /SRMS/util HTTP/1.1" 200 16159
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:34 -0700] "GET /SRMS/resources/js/srms.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:34 -0700] "GET /SRMS/resources/js/Chart.bundle.min.js HTTP/1.1" 200 211133
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:34 -0700] "GET /SRMS/resources/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:34 -0700] "GET /SRMS/resources/css/srms.css HTTP/1.1" 200 1535
